employee_id,employee_name,skills,experience_years,current_project_end,preferred_domain,preferred_location,performance_rating
1,Emp_1,"Node.js, Python, Flask, AWS",2.6,2025-10-11,E-commerce,Onsite,4.81
2,Emp_2,"TensorFlow, React, Python",7.4,2025-11-07,Finance,Onsite,4.82
3,Emp_3,"Python, SQL, Java, Flask",3.4,2025-08-17,Customer Support,Hybrid,3.45
4,Emp_4,"Java, SQL",7.9,2025-11-23,Finance,Hybrid,2.8
5,Emp_5,"NLP, Node.js, Angular, AWS",1.1,2025-12-22,Healthcare,Remote,3.89
6,Emp_6,"Angular, AWS, Node.js, SQL, React",8.3,2025-08-16,Finance,Hybrid,3.55
7,Emp_7,"NLP, Flask, SQL, Node.js",2.5,2025-09-08,Finance,Remote,3.47
8,Emp_8,"NLP, Python, Node.js, Java, Docker",6.4,2025-09-12,Customer Support,Hybrid,2.87
9,Emp_9,"SQL, NLP, Python, React",2.3,2025-11-08,Finance,Remote,4.94
10,Emp_10,"React, Java, Docker, NLP, SQL",4.5,2025-11-27,Finance,Remote,2.93
11,Emp_11,"Java, Python, SQL, Docker",8.8,2025-10-17,Finance,Onsite,4.11
12,Emp_12,"Python, Node.js, Java, Angular",1.5,2025-11-19,Retail,Onsite,3.82
13,Emp_13,"Docker, TensorFlow, Node.js, SQL",1.3,2025-10-26,Healthcare,Hybrid,3.26
14,Emp_14,"Angular, NLP, React, TensorFlow, Docker",1.0,2025-11-06,Retail,Onsite,4.72
15,Emp_15,"Flask, Docker",9.1,2025-08-05,Retail,Remote,3.1
16,Emp_16,"Docker, AWS, Python",6.0,2025-08-21,E-commerce,Remote,4.9
17,Emp_17,"NLP, TensorFlow, AWS, SQL, Docker",2.6,2025-11-23,Customer Support,Onsite,3.82
18,Emp_18,"Flask, Angular, Java",9.6,2025-09-03,Retail,Hybrid,3.65
19,Emp_19,"Angular, React, Java",3.1,2025-10-30,Healthcare,Onsite,2.96
20,Emp_20,"AWS, React, Java, Python",7.1,2025-11-28,Customer Support,Hybrid,3.15
21,Emp_21,"SQL, Docker, Java, NLP",9.3,2025-10-29,Finance,Hybrid,4.46
22,Emp_22,"TensorFlow, React, Angular",4.4,2025-10-20,Healthcare,Hybrid,4.18
23,Emp_23,"Node.js, Python, Angular, Java, AWS",8.5,2025-10-04,Retail,Remote,2.92
24,Emp_24,"SQL, Docker, TensorFlow, NLP, AWS",2.3,2025-07-18,E-commerce,Onsite,4.53
25,Emp_25,"AWS, Java",6.5,2025-08-24,Customer Support,Onsite,2.93
26,Emp_26,"NLP, Flask, Angular, AWS, TensorFlow",1.9,2025-08-16,Retail,Hybrid,4.52
27,Emp_27,"NLP, React, Python, Java, TensorFlow",7.9,2025-09-30,Customer Support,Remote,3.46
28,Emp_28,"NLP, AWS",4.7,2025-09-29,E-commerce,Hybrid,4.08
29,Emp_29,"Node.js, Docker",5.4,2025-07-17,Customer Support,Onsite,4.68
30,Emp_30,"React, TensorFlow",6.7,2025-10-12,Retail,Onsite,3.88
31,Emp_31,"SQL, Flask",9.3,2025-08-18,Healthcare,Onsite,4.84
32,Emp_32,"SQL, Docker, Java, AWS, Flask",10.0,2025-09-17,Retail,Remote,3.43
33,Emp_33,"SQL, NLP, Node.js",7.9,2025-12-20,E-commerce,Hybrid,2.64
34,Emp_34,"Flask, NLP, Docker, AWS, Java",4.7,2025-07-09,Finance,Remote,3.94
35,Emp_35,"NLP, Docker, Node.js, TensorFlow",3.4,2025-09-16,Customer Support,Remote,2.9
36,Emp_36,"Angular, React",4.9,2025-08-28,Finance,Onsite,4.88
37,Emp_37,"Java, Node.js, AWS, React, TensorFlow",4.4,2025-09-01,Retail,Onsite,3.1
38,Emp_38,"Docker, NLP, Angular, AWS, React",7.3,2025-09-08,Customer Support,Onsite,4.86
39,Emp_39,"Angular, SQL, Docker, Python, Node.js",3.7,2025-08-22,Retail,Hybrid,4.34
40,Emp_40,"Python, SQL, Docker",4.8,2025-11-28,Retail,Remote,3.53
41,Emp_41,"Node.js, NLP, Flask, AWS",4.0,2025-10-17,Healthcare,Hybrid,4.97
42,Emp_42,"Docker, AWS",9.2,2025-08-09,Healthcare,Hybrid,4.54
43,Emp_43,"SQL, TensorFlow, React, Python",1.6,2025-08-01,Customer Support,Remote,3.87
44,Emp_44,"SQL, Python, Angular, AWS, TensorFlow",6.1,2025-11-24,Finance,Hybrid,2.74
45,Emp_45,"Python, TensorFlow",8.3,2025-09-20,Customer Support,Onsite,2.66
46,Emp_46,"Docker, NLP",6.7,2025-11-18,E-commerce,Onsite,3.46
47,Emp_47,"AWS, Node.js",8.3,2025-10-12,Retail,Hybrid,3.23
48,Emp_48,"Python, Docker",8.5,2025-10-01,Retail,Hybrid,3.64
49,Emp_49,"Java, Angular, Node.js",7.7,2025-10-21,E-commerce,Remote,2.61
50,Emp_50,"NLP, React, Python, AWS",5.2,2025-10-07,Finance,Hybrid,4.67
